  color ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  peopl ,  product ,  waist ,  length ,  hair ,  use ,  chang ,  product ,  hour ,  comb ,  hair ,  tear ,  tangle ,  behalf ,  daughter ,  make ,  product ,,,,,,,,,,,,,,
  awesom ,  tri ,  everyth ,  strawlik ,  hair ,  damag ,  heat ,  frizz ,  humid ,  feel ,  hopelessuntil ,  overpr ,  salon ,  shampoo ,  suav ,  chang ,  hair ,  week ,  work ,,,,,,,,,,,,
  time ,  condition ,  leav ,  hair ,  manag ,  detangl ,  part ,  promotion ,,,,,,,,,,,,,,,,,,,,,,,
  way ,  work ,  hair ,  frizz ,  everywher ,  shampoocondition ,  day ,  absolut ,  product ,  wash ,  instant ,  result ,  smell ,  realli ,  hair ,,,,,,,,,,,,,,,,
  pleasantli ,  shampoocondition ,  hair ,  feel ,  differ ,  hair ,  comment ,  hair ,  work ,  salon ,  profession ,  product ,  discount ,  definit ,  product ,  price ,,,,,,,,,,,,,,,
  shelv ,  surpris ,  qualiti ,  shampoo ,  conditioner ,  price ,  smell ,  salon ,  qualiti ,  brand ,  use ,  straight ,  hair ,  hair ,  smell ,,,,,,,,,,,,,,,,
  shampoocondition ,  find ,  brand ,  work ,  hair ,  plea ,  shelf ,  hair ,  shampoocondition ,  dri ,  keratin ,,,,,,,,,,,,,,,,,,,,
  hair ,  hair ,  start ,  use ,  product ,  hair ,  comb ,  love ,  stuff ,  antifrizz ,  cream ,  fizz ,  heat ,  protection ,,,,,,,,,,,,,,,,,
  switch ,  becom ,  dri ,  age ,  use ,  hair ,  wonder ,  condition ,  anyon ,  silki ,  coarsedri ,  hair ,  thank ,  suave ,,,,,,,,,,,,,,,,,
  hair ,  suav ,  shampoo ,  condition ,  month ,  use ,  matrix ,  exclus ,  year ,  seamless ,  breakup ,  matrix ,  im ,  fan ,  product ,  work ,  price ,,,,,,,,,,,,,,
  hair ,  bit ,  get ,  wors ,  coast ,  humidity ,  color ,  treatment ,  regularli ,  alway ,  way ,  control ,  oil ,  treatment ,  cream ,  spray ,  none ,  im ,  crazi ,  time ,  appli ,  wash ,  day ,  series ,  product ,  time ,  use ,  need ,  condition ,  alreadi ,  realli 
  hair ,  day ,  review ,  part ,  promotion ,,,,,,,,,,,,,,,,,,,,,,,,,,
  product ,  dri ,  use ,  shampoo ,  help ,  hair ,,,,,,,,,,,,,,,,,,,,,,,,,
  coupl ,  work ,  wonder ,  curli ,  hair ,  recommend ,  anyon ,  curli ,  hair ,,,,,,,,,,,,,,,,,,,,,,
  product ,  use ,  shampoo ,  condition ,  differ ,  hair ,  strength ,  frizz ,  summer ,  humidity ,  goe ,  way ,  condition ,  frizz ,  control ,  conditioner ,  review ,  part ,  promotion ,,,,,,,,,,,,
  hair ,  curli ,  hair ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  use ,  curli ,  thick ,  store ,  buy ,  reason ,  price ,  budget ,  hair ,  outta ,  control ,  wait ,  littl ,  dri ,  hair ,  min ,  dri ,  dri ,  use ,  product ,,,,,,,,,,,
  love ,  shampoo ,  suav ,  im ,  shampoo ,  essenti ,  coconut ,  conditioner ,  combin ,  hair ,  growth ,  hair ,  fall ,  tub ,  review ,  part ,  promotion ,,,,,,,,,,,,,,
  work ,  shampoo ,  hair ,  bargain ,  use ,  time ,  plu ,  itch ,  mani ,  shampoo ,,,,,,,,,,,,,,,,,,,,,
  curli ,  expens ,  lot ,  product ,,,,,,,,,,,,,,,,,,,,,,,,,,,
  love ,  hair ,  suav ,  shine ,  littl ,  fli ,  aways ,  price ,  quality ,,,,,,,,,,,,,,,,,,,,,,
  love ,  year ,  problem ,  hair ,  fall ,  tool ,  break ,  hair ,  product ,  contain ,  use ,  product ,  shampoo ,  hair ,  life ,  goodby ,  hello ,  healthi ,  hair ,,,,,,,,,,,,
  coars ,  bit ,  itch ,  moreâ€¦i ,  oil ,,,,,,,,,,,,,,,,,,,,,,,,,,
  love ,  product ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  realli ,  bit ,  itch ,  morei ,  oil ,,,,,,,,,,,,,,,,,,,,,,,,,,
  hair ,  enjoy ,  conditioner ,  bunch ,  thick ,  curli ,  dri ,  hair ,  pretti ,  use ,  smell ,  use ,  shampoo ,  feel ,  combo ,  hair ,  iv ,  le ,  frizz ,  time ,  hair ,  day ,  greasi ,  hair ,  frizzi ,,,,,,
  product ,  shiny ,  manag ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
